Región,Localidad,Dirección Oficina,Teléfono,Horario Atención al Público,Buzón Zona de Profesionales,Latitud,Longitud
Occidente,Sopetrán,Calle 9 No 10-15,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.500840863,-75.74309697
Oriente,El Santuario,Calle 51 N°  50-29,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.139985484,-75.26602623
Urabá,Chigorodó,Carrera. 104 A No. 98B - 45 Calle de la Alcaldía,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.671611986,-76.68508945
Suroeste,Heliconia,Carrera 21 #19 A - 3,4444115 - 01800415115,"Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,6.208742799,-75.73263929
Urabá,San Pedro de Urabá,"Carrera 49 N.  50 - 32 – barrio Centro, al lado de UNE",4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,8.275,-76.376944
Metropolitana Sur,Poblado,Calle 10 Carrera 42 -18,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa,epm@epm.com.co,6.21217565,-75.57073331
Occidente,Dabeiba,Calle 10 No. 11-15 (frente a la Estación de Policía),4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.002367692,-76.26505921
Oriente,Sonsón,Calle 6 N°  7-46,4444115 - 01800415115,"Lunes, martes, jueves y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,5.709502716,-75.31172981
Occidente,Liborina-Olaya,Calle 8 No 10-53,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.677916471,-75.8113476
Suroeste,Concordia,Calle  20 (Bolívar) N. 18-54,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.046936656,-75.90719959
Urabá,Arboletes,Calle  30 con Carrera. 31 Parque Principal esquina salida San Juan,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,8.852674655,-76.42744462
Suroeste,Angelópolis,CR 11 N. 11 – 17,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.111997703,-75.71060886
Urabá,Apartadó,Carrera. 99 N.  95-12 Barrio Fundadores,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.880114994,-76.63220782
Metropolitana Centro,Edificio EPM,Carrera 58 N° 42 - 125,4444115 - 01800415115,Cerrada por contingencia Covid-19,epm@epm.com.co,6.24488905,-75.57745177
Suroeste,Betania,Clle 19   No. 20-63 los Fundadores,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.745856062,-75.97729918
Oriente,San Vicente,Carrera 30 # 31 - 32 (calle Cordoba),4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.280514966,-75.33300521
Oriente,San Carlos,Calle 20 # 20-42,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.187222,-74.992222
Norte y BC.,Campamento,Cll 9 # 9 - 73,4444115 - 01800415115,Lunes y martes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.,epm@epm.com.co,7.064013216,-75.27832354
Nordeste y MM.,Remedios,Calle 10  No. 09-16 (esla de EDATEL),4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.02836548,-74.69471986
Metropolitana Occidente,Punto fácil MasCerca Belén,Carrera 76 No. 32 - 74,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 05:30 p. m. Jornada continua,epm@epm.com.co,6.23355149,-75.59618859
Suroeste,Titiribi,Carrera 20 N. 21-33,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.063905616,-75.79381485
Suroeste,Valparaiso,Calle 10 No 10 - 42,4444115 - 01800415115,"Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,5.616390273,-75.62524493
Occidente,Cañasgordas,Carrera 30 N. 25-45 Parque los Libertadores,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.74848608,-76.02324735
Suroeste,Armenia,Calle 10 No. 8-09. Frente al banco agrario,4444115 - 01800415115,Martes y jueves de 09:00 a.m. a 12:00 m. y de 01:00 p.m. a 03:30 p.m.,epm@epm.com.co,6.157086685,-75.78695953
Suroeste,Altamira,"Sector San Pablo, al lado de la Parroquia Santa Teresa de Jesús",4444115 - 01800415115,Jueves de 08:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 03:00 p.m.,Servicio.Cliente.Suroeste@epm.com.co,6.218980416,-75.94870278
Oriente,San Francisco,Calle 9 entre carreras 10 y 11 a una cuadra del parque principal,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.962053185,-75.1009579
Occidente,Frontino,Calle 30 No. 29 - 21 Local 2,4444115 - 01800415115,"Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m. 
Nota: oficina cerrada los dias de apoyo en la sede de Abriaqui (dos veces al mes)",epm@epm.com.co,6.780286313,-76.12805133
Oriente,El Peñol,Carrera 15 A No 01 - 30,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.216133575,-75.24303834
Oriente,Alejandría,Carrera 20 No. 20-67,4444115 - 01800415115,Lunes y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.377955042,-75.14114319
Oriente,Doradal,Calle 20 N 23 52,4444115 - 01800415115,"Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,5.454181089,-74.66329711
Suroeste,Bolombolo,CL 9 N. 5 – 35,4444115 - 01800415115,Miércoles de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.969552918,-75.83766374
Metropolitana Centro,Palmitas,Casa de Gobierno Corregimiento de Palmitas,4444115 - 01800415115,"Cerrada por contingencia Covid-19

Servicio: Atención telefónica. Contáctanos a través del teléfono de EPM dispuesto en la Casa de Gobierno, el cual tiene línea directa a nuestros asesores.",epm@epm.com.co,6.15361483,-75.53348951
Metropolitana Norte,La Herrera,Cra 42 B No. 107-54,4444115 - 01800415115,Lunes a viernes 07:30 a. m. a 04:30 p. m.  Jornada Continúa,epm@epm.com.co,6.29465604,-75.54889285
Nordeste y MM.,La Sierra,Carrera 2  No. 20 - 63,4444115 - 01800415115,"Lunes,  miércoles y viernes de 07:30 a.m. a 11:30 a. m. y de 01:00 p.m.  a  05:00 p.m.",epm@epm.com.co,6.22598898,-74.5699161
Norte y BC.,El Bagre,Carrera 48  N.  51A - 11 Avenida La Juventud,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.604722,-74.808611
Oriente,Granada,Carrera 23  No. 22A - 07 piso 1,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.144069995,-75.18562032
Norte y BC.,San José de la Montaña,Calle  19  N. 19 - 43,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de  01:00 p.m. 05:00 p.m.,epm@epm.com.co,6.85024396,-75.68194803
Norte y BC.,Jardín de Cáceres,Calle 29 # 20-19 Via Manizales,4444115 - 01800415115,Jueves y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.752915678,-75.25483427
Oriente,Argelia,Calle 32 No. 29- 75,4444115 - 01800415115,"Miércoles, jueves y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,5.731666445,-75.14295251
Nordeste y MM.,Carolina del Príncipe,Calle  50 N.  50 - 38,4444115 - 01800415115,Martes y jueves de 08:00 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.,epm@epm.com.co,6.723880797,-75.28274945
Norte y BC.,Toledo,Calle 10  No. 10 - 03,4444115 - 01800415115,Jueves y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.011672969,-75.69100254
Norte y BC.,San Andrés de Cuerquia,Carrera 28 No. 29 - 02,4444115 - 01800415115,"Lunes, martes y miércoles de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,6.914426945,-75.67525626
Nordeste y MM.,Yalí,Calle 20 No. 19 - 29 Parque principal,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.675076578,-74.84226971
Nordeste y MM.,Yolombó,Calle 21 No. 18 - 25,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.599366007,-75.00981874
Occidente,Giraldo,Calle Casa de la Cultura,4444115 - 01800415115,Lunes a viernes 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.680329767,-75.95333641
Nordeste y MM.,Santo Domingo,"Calle  13 N. 15 - 14, local 9. Parque Principal",4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.471715154,-75.16470111
Norte y BC.,Nechí,Calle  30 N.  29 - 04  Calle  del Comercio,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,8.095833,-74.775
Urabá,Turbo,Calle  102  N. 14 b -05 calle de la iglesia. Barrio Baltazar de Casanova,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,8.094069398,-76.7271421
Suroeste,Tarso,Carrera 20 No 19 - 46,4444115 - 01800415115,"Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,5.865619015,-75.82211913
Metropolitana Norte,Bello,Carrera 49 CL 45 -38 Edificio Santa Clara,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada continua,epm@epm.com.co,6.331629298,-75.55622991
Metropolitana Sur,Sabaneta,Calle 69 Sur #46-47,4444115 - 01800415115,Lunes a Viernes de 07:30 a. m. a 04:30 p. m.  Jornada Continúa,epm@epm.com.co,6.15113376,-75.61695626
Suroeste,Amagá,Calle 51 N° 49-43,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.040840282,-75.70239076
Oriente,Rionegro,Calle 59 A  N°  51-10,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.159823458,-75.37195947
Nordeste y MM.,Amalfi,Carrera 21 (Sucre) No. 20 - 12,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,Servicio.Cliente.Nordeste@epm.com.co,6.908829357,-75.07513126
Occidente,Uramita,Carrera 20 N. 20-48 local 101,4444115 - 01800415115,"Lunes y martes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.
Miércoles de 7:30 a.m. a 9:30 a.m.",epm@epm.com.co,6.900485601,-76.17343934
Norte y BC.,Angostura,Carrera 10 No. 13 - 29,4444115 - 01800415115,"Miércoles, jueves y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",Servicio.Cliente.Norte@epm.com.co,6.886269299,-75.33513155
Norte y BC.,Zaragoza,Carrera 41 N.  39 - 31,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.489722,-74.8675
Metropolitana Norte,Girardota,Carrera 14 N. 08 - 60,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 04:30 p. m.  Jornada Continúa,epm@epm.com.co,6.375886837,-75.44660274
Metropolitana Norte,Punto fácil MasCerca Castilla,Cra 65 No. 100 - 109,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 05:30 p. m. Jornada continua,epm@epm.com.co,6.29511609,-75.56834984
Urabá,Bajirá,Calle 2 N. 2- 26 barrio el indio,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.372008667,-76.7144005
Nordeste y MM.,Segovia,Carrera 50 No 51-41 (Caratal) Edificio JAR segundo piso.,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.078396706,-74.70175283
Suroeste,Pueblorrico,"Carrera 31 Parque Ppal., primer piso Alcaldía",4444115 - 01800415115,Martes y jueves de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.790757808,-75.84228234
Nordeste y MM.,Guadalupe,Carrera 50 N.  49 - 37,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.814304469,-75.24080618
Metropolitana Sur,Punto fácil MasCerca Guayabal,Carrera 52 N° 9 sur 42,4444115 - 01800415115,"07:30 a..m. a 05:30 p.m.
En proceso de adecuación espacio
Atención a través de asesor en línea y autogestión",epm@epm.com.co,6.20087542,-75.58874162
Norte y BC.,Cáceres,CL 50 No. 50 – 59,4444115 - 01800415115,"Lunes, martes y miércoles de 07:30 a.m. a 11:30 a.m. y de  01:00 p.m. 05:00 p.m.",epm@epm.com.co,7.582639834,-75.34739194
Urabá,Nueva Colonia,"Calle  Principal, Diagonal Subestación de Policía. Barrio 19 de Marzo",4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.934089331,-76.71348009
Urabá,Necoclí,"Calle  51 con Carrera 49 (Calle  de la Iglesia, una cuadra antes del parque)",4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,8.424516982,-76.78648438
Nordeste y MM.,Vegachí,Carrera 50 No. 49 - 62,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.773056,-74.799444
Occidente,Santa Fe de Antioquia,Calle 9 N°  1-179,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.551010672,-75.82384147
Suroeste,Hispania,CL 50 N. 50 - 40 Parque ppal.,4444115 - 01800415115,"Lunes, martes, jueves y viernes de 7:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,5.799867214,-75.9080196
Suroeste,Jericó,Carrera 5 # 5-26,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.79177813,-75.78544944
Norte y BC.,Briceño,Calle 11 -  Edificio de Eugenio Posada - Primer Piso,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.110646582,-75.55153745
Nordeste y MM.,Anorí,Calle 29 No. 29 - 39,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.07353647,-75.14683671
Nordeste y MM.,Gómez Plata,Carrera 51 No. 51 - 55,4444115 - 01800415115,"Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,6.68222111,-75.21913157
Oriente,Cocorná,Calle  21 N.  19 -38,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.057088853,-75.18500341
Metropolitana Norte,Copacabana,Carrera 53 N. 50 - 17 (INTERIOR 101),4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a  04:30 p. m.  Jornada Continúa,epm@epm.com.co,6.346241928,-75.50973681
Metropolitana Centro,UVA San Cristobal,Cra 131 No. 65 - 40,4444115 - 01800415115,Lunes a viernes de 08:00 a.m. a 04:00 p.m.,epm@epm.com.co,6.2765149,-75.63578653
Suroeste,Ciudad Bolívar,Calle  49 N.  51-25,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.850333492,-76.02308878
Nordeste y MM.,Cisneros,Calle  19 N. 19C-101 Avenida del Ferrocarril.,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.53955879,-75.09089624
Norte y BC.,Entrerríos,Calle 10A No. 11-32,4444115 - 01800415115,Jueves y viernes de 08:00 a.m. a 11:30 a.m. y de 01:00 p.m. a 04:30 p.m,epm@epm.com.co,6.568971149,-75.51777725
Urabá,Currulao,Calle de la Iglesia. Barrio Escobar,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.997343886,-76.63706664
Metropolitana Centro,Santa Elena,Casa de Gobierno Parque Principal,4444115 - 01800415115,Cerrada por contingencia Covid-19,epm@epm.com.co,6.209633833,-75.49753689
Suroeste,Andes,Carrera 51 N. 48-40  Piso 1 - Edificio San Bernardo Plaza,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.656019432,-75.87799712
Occidente,Sabanalarga,Calle  18 No 19-02,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.849989428,-75.81782376
Oriente,Guarne,Calle 51 N° 51-49,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.279819199,-75.44352382
Suroeste,Carmen de Atrato,Calle  5  No  3 - 40 Las Flores,4444115 - 01800415115,Miércoles de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.899955147,-76.14262685
Oriente,Puerto Triunfo,Calle  11 No. 12 - 22 Avenida Napoles,4444115 - 01800415115,Martes y jueves de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.869607251,-74.6415459
Metropolitana Norte,Punto fácil MasCerca Floresta,Cra 89 B Calle 48 A 37,4444115 - 01800415115,"07:30 ap.m. a 05:30 p.m.
En proceso de adecuación espacio
Atención a través de asesor en línea y autogestión",epm@epm.com.co,6.25885216,-75.60657141
Metropolitana Sur,Envigado,Carrera 43  No. 38 A Sur- 31,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 04:30 p. m.  Jornada Continúa,epm@epm.com.co,6.16965054,-75.58925008
Metropolitana Sur,Caldas,Carrera 50 N. 127 Sur - 59 Local 101,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 4:30 p. m.   Jornada Continúa,epm@epm.com.co,6.09312334,-75.63698575
Nordeste y MM.,San Roque,Calle 20 No. 18 - 36,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.485278,-75.019722
Nordeste y MM.,Maceo,Calle 30 No. 30A - 13,4444115 - 01800415115,"Lunes,  miércoles y viernes de 07:30 a.m. a 11:30 a. m. y de 01:00 p.m.  a  05:00 p.m.",epm@epm.com.co,6.551952692,-74.78745803
Occidente,San Jerónimo,Cra 11 N° 18-108,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.441815255,-75.72766971
Nordeste y MM.,Puerto Berrío,Calle  51 N.  7 - 39,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.490556,-74.404722
Occidente,Caicedo,Carrera 4 No. 5-32 Olaya Herrera,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.405430018,-75.98259579
Occidente,Ebéjico,Calle  19 N.  20 - 24 Pasaje Fátima,4444115 - 01800415115,"Martes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.
Nota: En caso de lunes festivo, el martes no habrá atención por apoyo en la oficina del corregimiento de Sevilla",epm@epm.com.co,6.32651063,-75.76895414
Oriente,Guatapé,Calle 32 No. 23 - 27,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.234229129,-75.15749654
Oriente,Marinilla,Calle 29 N° 30-55,4444115 - 01800415115,Lunes - Viernes 8:00 a.m. - 11:30 a.m. y 2:00 p.m. a 5:30 p.m.Sábado 8:00 a.m. a 1:00 p.m.,epm@epm.com.co,6.172950674,-75.33534212
Suroeste,Montebello,Calle  19 N. 19-63,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.945511664,-75.52453173
Nordeste y MM.,Puerto Nare,Carrera 2  No. 48 - 13,4444115 - 01800415115,Martes y jueves de 08:00 a.m. a 11:30 a.m. y de 01:00 p.m. a 03:30 p.m,epm@epm.com.co,6.197030199,-74.59258031
Oriente,El Carmen de Viboral,Calle 30 N° 31-40,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.082658785,-75.33590407
Suroeste,Támesis,Cra 11 A N° 10-10,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.662901664,-75.71361788
Oriente,Nariño,CR 9 N 10 -40,4444115 - 01800415115,"Lunes, martes y miércoles de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m",epm@epm.com.co,5.608263754,-75.17545996
Norte y BC.,San Pedro de los Milagros,Carrera 49 No 47-33 calle abajo,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.460558045,-75.55613627
Suroeste,Fredonia,Carrera 48 N. 50-02,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.928586864,-75.6706318
Urabá,San Juan de Urabá,Cra. 20 x Calle 21 parque principal,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,8.761259451,-76.52828914
